CustomerId,Complain,Satisfaction Score,Card Type,Point Earned
15592461,0,3,PLATINUM,882
15789484,1,5,GOLD,379
15696061,1,3,PLATINUM,469
15641582,1,3,PLATINUM,683
15638424,1,1,GOLD,770
15755648,0,5,SILVER,985
15703793,1,4,GOLD,725
15620344,0,3,PLATINUM,259
15812518,0,2,GOLD,979
15779052,0,2,SILVER,988
15770811,0,2,PLATINUM,833
15780961,0,1,PLATINUM,527
15614049,0,5,SILVER,220
15662085,0,4,GOLD,983
15575185,0,3,SILVER,582
15803136,0,3,SILVER,281
15706021,0,3,DIAMOND,798
15663706,1,5,SILVER,917
15641732,0,2,DIAMOND,255
15701164,0,4,SILVER,511
15738751,0,1,SILVER,498
15805254,0,5,DIAMOND,651
15762418,1,2,SILVER,852
15625759,0,1,DIAMOND,807
15622897,1,3,PLATINUM,470
15767954,0,1,DIAMOND,659
15757535,1,3,DIAMOND,752
15731511,0,1,SILVER,559
15809248,0,2,GOLD,375
15640635,0,2,DIAMOND,411
15676966,0,4,DIAMOND,722
15699461,0,1,GOLD,231
15738721,0,5,DIAMOND,488
15693683,0,2,GOLD,965
15604348,0,4,SILVER,289
15633059,0,1,PLATINUM,449
15808582,0,2,SILVER,651
15743192,0,2,DIAMOND,520
15580146,0,4,DIAMOND,234
15776605,0,5,SILVER,458
15804919,1,2,GOLD,915
15613854,1,3,GOLD,299
15599195,0,4,GOLD,838
15812878,0,5,PLATINUM,786
15602312,0,3,DIAMOND,509
15744689,1,3,DIAMOND,328
15803526,0,4,SILVER,347
15665790,0,5,SILVER,534
15715951,0,5,PLATINUM,709
15591100,0,4,SILVER,749
15609618,1,5,PLATINUM,541
15675522,0,2,GOLD,736
15705512,0,4,SILVER,529
15698028,0,4,GOLD,594
15661670,1,1,SILVER,462
15600781,0,3,PLATINUM,429
15682472,0,4,SILVER,370
15580203,0,1,PLATINUM,510
15690673,0,4,DIAMOND,638
15760085,0,1,GOLD,462
15779659,0,4,GOLD,718
15627360,1,3,DIAMOND,437
15671137,1,4,DIAMOND,485
15782688,1,3,PLATINUM,410
15575492,0,2,PLATINUM,666
15591607,0,4,GOLD,730
15740404,0,2,PLATINUM,375
15718369,0,5,GOLD,411
15677871,0,4,DIAMOND,595
15642004,0,1,DIAMOND,578
15712543,0,2,PLATINUM,377
15584518,0,2,GOLD,831
15802381,0,1,SILVER,497
15610156,0,1,PLATINUM,374
15594408,0,4,DIAMOND,814
15640905,1,4,GOLD,247
15698932,0,5,PLATINUM,965
15724944,0,3,SILVER,912
15628145,0,4,GOLD,462
15713483,1,5,GOLD,883
15612350,0,2,SILVER,402
15800703,0,4,GOLD,764
15705707,0,1,PLATINUM,608
15754105,0,5,PLATINUM,652
15703264,0,2,SILVER,520
15794413,0,5,GOLD,884
15650237,0,1,SILVER,800
15759618,1,4,GOLD,697
15811589,0,2,SILVER,427
15689044,0,1,DIAMOND,620
15709368,0,1,PLATINUM,318
15679145,1,1,GOLD,701
15655007,0,4,PLATINUM,953
15623595,0,5,PLATINUM,635
15589975,0,1,PLATINUM,250
15804017,0,3,SILVER,662
15692132,0,2,GOLD,666
15641122,0,4,DIAMOND,699
15630910,0,3,PLATINUM,855
15680772,0,5,SILVER,534
15658929,1,1,PLATINUM,388
15585388,0,5,GOLD,612
15724623,1,2,PLATINUM,801
15588537,0,1,PLATINUM,561
15574692,1,5,PLATINUM,308
15611325,0,5,SILVER,643
15587562,0,1,GOLD,249
15613172,1,2,SILVER,818
15651022,1,1,GOLD,775
15586310,1,5,DIAMOND,872
15625524,0,3,DIAMOND,435
15755209,0,2,SILVER,415
15645248,0,2,DIAMOND,430
15790355,0,5,PLATINUM,929
15762615,0,5,SILVER,681
15625426,1,4,GOLD,810
15716334,0,5,GOLD,739
15789669,0,1,SILVER,280
15621075,0,2,DIAMOND,250
15810845,0,4,PLATINUM,991
15719377,1,2,GOLD,482
15654506,0,4,PLATINUM,423
15771977,0,5,GOLD,260
15708710,0,5,SILVER,642
15726676,0,4,PLATINUM,701
15587421,0,4,GOLD,570
15726931,1,4,GOLD,790
15771086,0,5,PLATINUM,727
15756850,0,3,SILVER,909
15702741,0,2,GOLD,799
15679200,0,1,DIAMOND,520
15594815,0,3,SILVER,861
15635905,0,5,GOLD,512
15777892,0,1,PLATINUM,478
15656176,0,5,PLATINUM,374
15811127,0,4,PLATINUM,280
15604482,0,2,DIAMOND,615
15622911,0,3,GOLD,435
15600974,1,5,GOLD,509
15727868,1,4,DIAMOND,321
15627801,0,1,PLATINUM,726
15773039,0,3,GOLD,516
15755262,1,3,PLATINUM,639
15679531,0,2,SILVER,512
15684181,1,3,GOLD,730
15612087,0,3,DIAMOND,244
15752047,0,3,PLATINUM,292
15624592,0,3,GOLD,245
15573152,0,3,DIAMOND,848
15594917,0,3,SILVER,974
15785542,0,4,DIAMOND,958
15723488,1,3,GOLD,629
15680920,0,3,DIAMOND,310
15786308,0,1,SILVER,621
15659366,1,4,DIAMOND,924
15774854,1,2,PLATINUM,359
15725311,0,5,SILVER,811
15787155,0,4,DIAMOND,583
15727829,0,5,SILVER,959
15733247,1,1,SILVER,359
15568748,1,3,PLATINUM,901
15699029,0,5,GOLD,729
15774393,0,5,DIAMOND,829
15676895,1,4,SILVER,790
15637753,1,2,DIAMOND,756
15605461,0,4,GOLD,873
15808473,0,3,SILVER,865
15627000,0,5,GOLD,690
15787174,0,4,PLATINUM,722
15723886,0,4,DIAMOND,535
15704769,0,5,SILVER,580
15772896,1,3,GOLD,709
15711540,0,4,GOLD,930
15764866,1,4,DIAMOND,264
15794056,1,1,DIAMOND,943
15795149,0,2,PLATINUM,388
15812009,0,5,GOLD,248
15651001,0,2,GOLD,763
15813844,0,1,DIAMOND,619
15596175,1,2,SILVER,815
15576269,0,4,DIAMOND,566
15797219,1,5,GOLD,774
15685500,0,1,PLATINUM,695
15599792,0,5,PLATINUM,902
15657566,0,2,GOLD,532
15772423,1,2,DIAMOND,718
15628112,0,5,PLATINUM,895
15753754,0,4,DIAMOND,749
15793726,0,5,DIAMOND,333
15694717,0,4,DIAMOND,866
15665834,0,3,SILVER,671
15765297,0,4,GOLD,670
15636684,0,4,GOLD,768
15592979,0,3,SILVER,565
15750803,0,1,SILVER,483
15607178,0,2,GOLD,926
15713853,0,1,DIAMOND,932
15673481,0,4,DIAMOND,901
15686776,0,3,GOLD,299
15673693,0,2,PLATINUM,899
15700696,0,4,PLATINUM,467
15813163,0,1,PLATINUM,717
15653857,0,1,DIAMOND,549
15777076,0,1,GOLD,545
15717398,1,2,GOLD,716
15799217,0,2,SILVER,650
15787071,0,4,PLATINUM,693
15619955,1,4,PLATINUM,759
15796505,0,2,GOLD,946
15725166,0,5,GOLD,402
15800116,0,3,PLATINUM,465
15758685,0,1,GOLD,799
15694456,1,3,SILVER,600
15767339,0,2,PLATINUM,306
15683562,0,3,SILVER,635
15782210,1,2,PLATINUM,747
15668893,0,3,PLATINUM,424
15669169,0,2,DIAMOND,913
15643024,1,1,GOLD,751
15699389,0,3,DIAMOND,899
15708608,0,3,PLATINUM,219
15626144,0,3,SILVER,587
15573112,0,2,SILVER,861
15790678,0,1,PLATINUM,278
15727556,0,1,PLATINUM,526
15697307,0,2,PLATINUM,632
15652266,0,3,SILVER,301
15607098,0,1,DIAMOND,806
15655774,0,1,PLATINUM,250
15590241,1,2,PLATINUM,563
15785819,0,1,DIAMOND,861
15723654,0,4,PLATINUM,790
15774510,0,3,PLATINUM,669
15684173,1,2,SILVER,336
15650068,0,1,GOLD,517
15811490,0,4,PLATINUM,499
15803976,0,3,SILVER,673
15682541,0,2,SILVER,268
15695699,0,5,PLATINUM,809
15624188,0,5,GOLD,460
15812191,0,4,SILVER,221
15636673,0,2,SILVER,730
15594898,1,2,DIAMOND,777
15660211,0,4,SILVER,837
15773972,1,1,DIAMOND,958
15746726,0,4,PLATINUM,809
15712287,0,1,GOLD,662
15702919,0,2,GOLD,484
15674398,0,2,GOLD,737
15797960,0,1,SILVER,486
15631868,0,3,SILVER,252
15581539,0,4,SILVER,275
15662736,1,1,DIAMOND,245
15666252,0,4,PLATINUM,361
15677512,0,4,DIAMOND,483
15626114,0,2,GOLD,352
15810834,0,5,PLATINUM,337
15678910,0,1,SILVER,597
15694408,1,1,SILVER,381
15585215,0,3,PLATINUM,668
15682757,0,4,DIAMOND,245
15736601,0,2,PLATINUM,495
15601848,0,4,DIAMOND,378
15736008,1,1,SILVER,568
15669064,0,5,PLATINUM,731
15624528,0,2,GOLD,837
15598493,0,1,GOLD,829
15601274,0,3,DIAMOND,230
15702669,0,4,DIAMOND,919
15728669,1,4,PLATINUM,641
15742668,0,2,DIAMOND,457
15697441,1,4,GOLD,583
15740476,0,2,PLATINUM,849
15648064,0,3,DIAMOND,720
15636624,1,3,SILVER,317
15807923,1,5,DIAMOND,465
15745844,1,4,GOLD,269
15786170,0,3,SILVER,391
15681081,0,4,PLATINUM,373
15684484,0,3,PLATINUM,251
15785869,0,2,PLATINUM,237
15763859,0,2,SILVER,645
15658935,0,3,SILVER,624
15747358,0,5,PLATINUM,838
15735203,0,4,GOLD,224
15576256,0,4,DIAMOND,343
15659420,0,3,DIAMOND,683
15593365,0,5,GOLD,929
15777352,0,4,PLATINUM,234
15812007,0,3,DIAMOND,723
15625461,0,1,PLATINUM,482
15739438,0,4,DIAMOND,231
15611759,0,3,GOLD,244
15661629,1,3,GOLD,973
15633950,0,5,SILVER,463
15592386,0,5,DIAMOND,253
15803716,0,3,SILVER,241
15696674,1,5,PLATINUM,537
15706365,0,5,DIAMOND,332
15745088,0,5,PLATINUM,390
15676715,0,4,PLATINUM,763
15613085,0,4,GOLD,240
15633537,0,1,PLATINUM,978
15594720,0,5,DIAMOND,366
15684042,0,3,DIAMOND,356
15583303,0,1,SILVER,907
15611579,0,3,SILVER,687
15774696,0,2,PLATINUM,703
15694506,0,2,DIAMOND,388
15688074,0,2,DIAMOND,579
15759537,0,2,GOLD,793
15758449,0,3,GOLD,828
15583456,1,2,GOLD,291
15667871,0,4,GOLD,951
15677371,0,2,DIAMOND,952
15629677,1,2,GOLD,616
15713578,0,5,SILVER,706
15591509,0,2,DIAMOND,423
15568240,0,5,GOLD,552
15622993,0,3,DIAMOND,665
15689294,0,3,PLATINUM,351
15720910,0,3,DIAMOND,906
15721181,0,4,DIAMOND,406
15776433,0,4,GOLD,594
15748936,0,1,PLATINUM,815
15717225,0,2,PLATINUM,458
15685226,0,3,SILVER,886
15785611,0,3,SILVER,833
15573456,1,4,GOLD,932
15684548,1,3,GOLD,632
15620505,0,2,DIAMOND,431
15807432,0,3,PLATINUM,739
15584766,0,5,SILVER,362
15612187,0,2,SILVER,309
15762218,0,2,GOLD,513
15646372,1,2,DIAMOND,302
15690452,0,2,DIAMOND,437
15747795,0,5,SILVER,337
15781589,0,5,SILVER,629
15732674,0,4,GOLD,858
15642291,0,2,SILVER,543
15692761,0,1,DIAMOND,939
15578045,1,5,GOLD,797
15745354,0,4,SILVER,629
15701376,0,2,SILVER,743
15691625,0,5,DIAMOND,767
15566594,0,2,SILVER,246
15760431,0,2,PLATINUM,480
15686302,0,5,GOLD,924
15801559,1,3,GOLD,430
15810432,0,2,DIAMOND,708
15809616,0,4,PLATINUM,701
15720559,1,2,DIAMOND,982
15695632,0,1,DIAMOND,827
15659843,0,4,DIAMOND,597
15615624,0,1,DIAMOND,468
15810418,1,3,DIAMOND,523
15716186,0,2,SILVER,650
15674551,1,2,GOLD,567
15622834,0,1,DIAMOND,749
15566111,0,3,PLATINUM,390
15784597,0,5,GOLD,922
15652883,0,5,GOLD,560
15806964,0,2,DIAMOND,994
15576313,0,4,PLATINUM,530
15806467,1,2,SILVER,818
15597602,1,5,PLATINUM,367
15743040,0,4,DIAMOND,393
15705521,0,5,DIAMOND,860
15595039,1,5,GOLD,958
15799384,0,4,PLATINUM,576
15581197,0,5,SILVER,887
15693737,0,4,DIAMOND,396
15624623,0,1,GOLD,565
15783501,0,3,SILVER,874
15690134,0,3,SILVER,665
15782735,0,5,SILVER,680
15611088,0,1,DIAMOND,319
15672145,0,3,SILVER,351
15732628,0,3,DIAMOND,781
15787470,1,2,DIAMOND,918
15803406,0,3,GOLD,340
15730460,0,4,GOLD,625
15644572,0,3,DIAMOND,923
15694860,1,5,PLATINUM,543
15658169,0,2,GOLD,859
15794396,0,5,GOLD,794
15785798,0,2,GOLD,241
15710825,0,3,GOLD,702
15668444,0,4,PLATINUM,816
15726631,0,4,SILVER,404
15733797,0,4,GOLD,299
15747960,0,1,SILVER,855
15634632,0,4,DIAMOND,886
15707362,1,4,GOLD,774
15662976,0,1,DIAMOND,699
15732778,0,3,GOLD,977
15718443,0,1,SILVER,426
15670039,0,3,DIAMOND,595
15773792,1,1,DIAMOND,368
15613786,0,3,SILVER,261
15726032,0,3,GOLD,614
15663252,0,4,DIAMOND,765
15593782,1,4,GOLD,961
15633283,0,2,GOLD,345
15749167,0,1,GOLD,330
15759298,0,5,PLATINUM,863
15683625,1,3,DIAMOND,371
15635367,0,1,DIAMOND,282
15681705,0,2,SILVER,937
15603156,0,2,GOLD,722
15591986,1,2,SILVER,956
15798888,0,2,SILVER,496
15809722,0,2,DIAMOND,927
15677538,0,5,SILVER,550
15797736,0,2,GOLD,420
15695585,0,3,DIAMOND,760
15744398,0,1,PLATINUM,225
15750658,0,4,SILVER,860
15578186,0,1,GOLD,882
15676519,1,4,DIAMOND,683
15637954,0,4,GOLD,500
15758639,0,2,PLATINUM,516
15613772,1,2,PLATINUM,328
15731744,0,4,DIAMOND,751
15807709,0,1,GOLD,652
15714689,0,2,PLATINUM,850
15699005,0,4,DIAMOND,678
15624170,0,4,GOLD,860
15725679,1,2,SILVER,510
15585865,1,5,PLATINUM,954
15804256,0,3,DIAMOND,547
15662403,0,5,SILVER,238
15733616,0,1,SILVER,314
15591995,0,5,SILVER,595
15677020,1,2,DIAMOND,257
15727688,0,4,DIAMOND,850
15715941,0,3,PLATINUM,552
15714485,1,5,GOLD,540
15730059,0,4,SILVER,343
15715527,0,5,PLATINUM,331
15576623,0,2,PLATINUM,568
15805565,0,1,DIAMOND,813
15677307,0,1,PLATINUM,530
15773890,0,3,DIAMOND,279
15598883,0,4,GOLD,516
15568506,0,5,GOLD,685
15761043,0,5,SILVER,435
15782236,0,1,PLATINUM,898
15593601,0,4,DIAMOND,693
15682048,1,1,PLATINUM,683
15746902,0,1,SILVER,690
15752081,1,3,PLATINUM,547
15781307,0,1,GOLD,466
15775912,1,1,GOLD,342
15745417,0,2,GOLD,230
15671256,1,2,PLATINUM,757
15653547,0,3,SILVER,657
15595766,0,3,PLATINUM,453
15742358,0,4,DIAMOND,694
15763274,0,5,PLATINUM,727
15786063,0,3,DIAMOND,304
15600258,0,2,SILVER,633
15573318,0,2,SILVER,989
15653849,1,5,GOLD,352
15694272,0,5,DIAMOND,936
15736112,0,3,SILVER,689
15749851,0,4,DIAMOND,267
15663478,0,2,GOLD,613
15592300,0,4,GOLD,480
15567832,0,1,GOLD,951
15776780,1,4,DIAMOND,585
15592846,0,3,PLATINUM,452
15739803,0,3,SILVER,358
15794142,1,3,GOLD,771
15762729,1,1,PLATINUM,238
15667896,0,3,DIAMOND,633
15626578,0,3,PLATINUM,344
15776223,0,5,SILVER,244
15705953,1,2,PLATINUM,405
15802593,1,5,SILVER,408
15615457,0,5,DIAMOND,939
15708916,0,3,DIAMOND,701
15720187,0,4,SILVER,503
15595440,0,3,GOLD,881
15600651,0,3,GOLD,758
15750141,0,5,SILVER,751
15657284,1,4,GOLD,363
15763063,0,3,DIAMOND,560
15709324,0,4,SILVER,969
15711309,0,5,SILVER,470
15775318,1,1,SILVER,759
15705515,0,5,SILVER,403
15634844,1,1,SILVER,980
15717046,0,3,GOLD,245
15571816,0,1,DIAMOND,283
15670080,0,2,DIAMOND,453
15800440,0,5,DIAMOND,683
15665678,0,5,GOLD,863
15665956,1,2,DIAMOND,264
15788126,0,3,SILVER,946
15811773,0,1,GOLD,354
15651674,1,3,SILVER,281
15689614,0,1,PLATINUM,938
15795564,0,2,PLATINUM,815
15706647,0,5,GOLD,753
15728505,0,1,GOLD,650
15730076,1,3,SILVER,629
15622003,0,4,SILVER,742
15607312,1,2,GOLD,314
15644753,0,3,GOLD,844
15653620,0,2,SILVER,776
15761986,0,4,DIAMOND,913
15633922,0,3,GOLD,786
15734674,0,1,SILVER,939
15658032,0,4,DIAMOND,812
15692671,0,2,DIAMOND,689
15737741,1,5,PLATINUM,647
15576352,0,4,PLATINUM,839
15753719,0,3,PLATINUM,807
15803689,1,3,SILVER,847
15718057,1,4,DIAMOND,550
15722010,1,3,PLATINUM,777
15680998,0,4,SILVER,865
15614782,0,1,PLATINUM,425
15591047,1,1,PLATINUM,934
15788291,1,1,SILVER,656
15604044,0,1,DIAMOND,903
15679587,0,1,SILVER,427
15775153,0,5,GOLD,708
15603925,0,2,PLATINUM,625
15680970,0,1,DIAMOND,645
15697183,0,4,SILVER,808
15567446,0,2,PLATINUM,525
15637476,1,5,SILVER,746
15714939,0,3,DIAMOND,774
15683503,1,4,SILVER,343
15645569,0,4,PLATINUM,669
15782569,0,5,GOLD,258
15592387,1,4,DIAMOND,817
15609286,0,4,DIAMOND,541
15814035,0,5,GOLD,418
15661249,0,1,PLATINUM,513
15629117,0,3,GOLD,706
15607170,0,2,SILVER,915
15586585,0,4,DIAMOND,751
15686611,0,2,DIAMOND,753
15603203,0,1,PLATINUM,789
15619857,0,1,SILVER,380
15805062,0,5,PLATINUM,955
15660271,0,4,PLATINUM,866
15745295,1,2,SILVER,274
15719352,0,2,DIAMOND,380
15766575,1,5,GOLD,455
15594594,0,3,DIAMOND,451
15646161,0,1,SILVER,603
15682585,0,5,DIAMOND,660
15603134,0,5,PLATINUM,806
15636444,0,1,PLATINUM,577
15773456,0,1,SILVER,824
15745307,0,3,GOLD,238
15604119,0,2,PLATINUM,445
15626900,0,5,GOLD,589
15605447,0,2,SILVER,989
15589030,0,4,GOLD,908
15692463,0,1,SILVER,395
15712403,1,4,SILVER,923
15811762,1,5,DIAMOND,878
15718673,0,3,PLATINUM,497
15724282,0,5,SILVER,778
15738181,1,3,DIAMOND,895
15633648,0,4,SILVER,509
15603323,0,1,PLATINUM,485
15583725,0,5,SILVER,229
15588350,0,3,SILVER,982
15798398,0,4,SILVER,834
15784844,1,5,PLATINUM,265
15580684,0,5,PLATINUM,819
15809663,0,1,PLATINUM,992
15640078,1,1,DIAMOND,816
15698786,1,2,SILVER,444
15569807,1,2,SILVER,611
15730830,0,4,SILVER,974
15805112,0,1,DIAMOND,325
15633064,0,3,SILVER,660
15703119,0,2,PLATINUM,691
15730447,0,5,PLATINUM,921
15813850,0,1,GOLD,678
15711889,0,1,DIAMOND,335
15664610,1,5,DIAMOND,661
15751710,0,4,PLATINUM,249
15692926,0,4,DIAMOND,793
15813741,0,3,PLATINUM,737
15698474,0,1,DIAMOND,929
15568595,0,3,GOLD,562
15603065,0,2,DIAMOND,633
15592937,0,3,SILVER,532
15699637,0,2,SILVER,988
15667215,0,1,DIAMOND,888
15788659,0,2,PLATINUM,499
15763218,0,1,PLATINUM,671
15645772,0,2,DIAMOND,873
15725511,0,2,PLATINUM,665
15575024,0,1,DIAMOND,927
15640825,0,3,SILVER,520
15662397,0,5,PLATINUM,380
15576368,0,2,PLATINUM,300
15674991,0,3,GOLD,300
15721024,0,5,SILVER,616
15745621,0,2,PLATINUM,869
15642394,0,2,PLATINUM,395
15754605,0,1,SILVER,336
15607040,0,5,PLATINUM,910
15715142,1,3,SILVER,827
15810978,0,3,DIAMOND,844
15668886,0,4,SILVER,866
15780804,0,5,GOLD,408
15613880,0,2,GOLD,515
15775238,0,3,SILVER,807
15786905,0,3,DIAMOND,678
15747867,0,5,SILVER,304
15600337,1,1,PLATINUM,426
15801277,0,5,PLATINUM,641
15579334,1,5,DIAMOND,592
15802741,1,1,PLATINUM,833
15720649,0,1,SILVER,224
15589493,0,5,GOLD,475
15688251,0,2,PLATINUM,307
15665238,0,5,PLATINUM,766
15740900,0,1,SILVER,261
15681068,0,2,DIAMOND,267
15748625,0,5,SILVER,564
15727299,1,5,PLATINUM,561
15620204,1,5,GOLD,677
15669516,0,5,DIAMOND,718
15736534,0,1,SILVER,288
15803457,0,1,SILVER,872
15659098,0,4,PLATINUM,463
15603436,0,3,DIAMOND,650
15566292,0,2,DIAMOND,980
15808621,0,1,PLATINUM,374
15580148,1,4,GOLD,523
15776231,0,5,SILVER,279
15773809,0,5,GOLD,402
15649423,0,3,GOLD,717
15734886,0,5,PLATINUM,410
15722548,0,3,GOLD,274
15650288,0,1,SILVER,989
15629448,0,3,DIAMOND,666
15716164,0,5,DIAMOND,518
15807609,1,2,GOLD,653
15578977,0,1,GOLD,723
15677369,0,2,DIAMOND,606
15804072,0,1,GOLD,282
15696859,0,4,PLATINUM,792
15653780,0,1,SILVER,777
15721658,1,5,PLATINUM,742
15578761,1,3,PLATINUM,326
15736879,0,1,GOLD,250
15571973,0,5,SILVER,844
15626742,0,5,SILVER,522
15672692,0,4,DIAMOND,396
15673570,0,1,DIAMOND,537
15767432,0,3,PLATINUM,865
15654238,0,1,SILVER,748
15612525,1,3,GOLD,251
15812750,0,3,SILVER,602
15790757,0,3,DIAMOND,865
15723873,0,2,SILVER,225
15744607,1,5,DIAMOND,912
15612966,1,5,GOLD,907
15784209,0,5,SILVER,592
15794278,0,5,GOLD,459
15766741,0,1,SILVER,969
15661036,0,2,GOLD,393
15705639,0,1,GOLD,588
15637414,0,2,DIAMOND,517
15716835,0,2,DIAMOND,494
15696231,0,2,PLATINUM,274
15641675,1,1,PLATINUM,561
15670755,0,3,GOLD,256
15640059,0,2,DIAMOND,664
15787619,0,5,DIAMOND,821
15587535,0,1,GOLD,238
15813034,0,4,DIAMOND,757
15698839,0,5,SILVER,287
15790314,0,4,GOLD,547
15634245,0,1,DIAMOND,810
15677305,0,5,PLATINUM,960
15661526,0,3,GOLD,623
15685997,0,2,DIAMOND,917
15660101,0,3,GOLD,963
15637979,0,5,GOLD,705
15815364,0,3,PLATINUM,457
15647099,0,5,GOLD,519
15625944,0,1,DIAMOND,773
15583212,0,3,GOLD,568
15582741,1,5,DIAMOND,854
15637876,1,5,PLATINUM,944
15622750,0,2,GOLD,254
15672056,1,3,GOLD,350
15812351,0,4,SILVER,314
15810864,0,2,GOLD,603
15677921,1,1,PLATINUM,274
15724296,0,2,GOLD,935
15685329,1,2,PLATINUM,908
15584091,1,3,GOLD,914
15640442,0,5,GOLD,585
15639314,0,2,GOLD,539
15685320,0,2,DIAMOND,277
15789158,1,2,PLATINUM,752
15752137,0,2,PLATINUM,219
15712551,1,2,GOLD,475
15628936,1,3,SILVER,735
15797227,0,4,DIAMOND,497
15769974,0,3,SILVER,369
15737051,0,2,PLATINUM,740
15585595,0,5,GOLD,461
15654060,0,4,SILVER,540
15745196,0,3,SILVER,329
15571221,1,3,PLATINUM,844
15660155,0,3,SILVER,328
15605284,0,2,PLATINUM,381
15694366,0,5,GOLD,809
15600739,0,2,SILVER,814
15653253,0,2,SILVER,970
15763431,0,5,GOLD,925
15643696,0,4,PLATINUM,437
15707473,0,5,GOLD,446
15769504,0,5,GOLD,514
15776807,0,3,SILVER,711
15686870,0,4,DIAMOND,954
15668747,0,1,PLATINUM,511
15766908,0,2,GOLD,804
15570134,0,3,SILVER,511
15567367,0,4,SILVER,336
15747542,0,3,PLATINUM,435
15762238,0,4,SILVER,863
15681554,0,3,DIAMOND,906
15712825,0,4,DIAMOND,390
15640280,0,4,PLATINUM,404
15756026,1,3,SILVER,258
15613319,0,4,GOLD,987
15798906,0,3,DIAMOND,348
15708917,0,5,SILVER,686
15778463,0,5,GOLD,517
15699430,0,1,DIAMOND,341
15649992,0,3,GOLD,854
15578980,0,2,PLATINUM,692
15775306,1,4,SILVER,237
15641655,0,5,DIAMOND,417
15619708,0,1,SILVER,395
15734565,0,5,GOLD,921
15806438,1,3,DIAMOND,362
15591969,0,5,GOLD,709
15747807,0,4,GOLD,506
15596939,0,1,DIAMOND,367
15716155,0,4,DIAMOND,242
15765311,0,3,GOLD,323
15757811,1,5,PLATINUM,719
15603830,0,1,GOLD,767
15660602,0,4,GOLD,406
15660535,0,1,DIAMOND,735
15666633,0,4,PLATINUM,408
15596914,0,3,SILVER,888
15639788,0,2,PLATINUM,596
15695846,0,3,SILVER,372
15726234,0,3,SILVER,256
15797964,0,4,GOLD,599
15625881,0,4,GOLD,558
15780628,0,2,DIAMOND,565
15575883,0,4,PLATINUM,796
15585036,0,3,DIAMOND,245
15589488,0,5,DIAMOND,799
15585888,1,3,PLATINUM,421
15727915,0,1,DIAMOND,691
15707567,1,4,DIAMOND,738
15737792,0,4,PLATINUM,417
15599433,0,5,PLATINUM,815
15672012,1,4,DIAMOND,497
15806983,0,1,PLATINUM,351
15592222,0,5,GOLD,726
15608968,0,4,GOLD,910
15586959,0,3,GOLD,780
15646558,0,1,PLATINUM,247
15725811,0,4,DIAMOND,723
15572265,0,2,PLATINUM,689
15794048,1,5,GOLD,736
15677610,0,4,GOLD,240
15745012,0,5,DIAMOND,848
15601589,0,3,SILVER,632
15686436,0,3,DIAMOND,480
15693864,1,1,GOLD,980
15760550,0,4,PLATINUM,437
15686137,0,3,DIAMOND,454
15809087,1,1,PLATINUM,839
15807663,1,3,DIAMOND,680
15809100,1,2,GOLD,374
15794916,0,4,DIAMOND,240
15614215,0,2,DIAMOND,477
15805449,0,1,SILVER,477
15686983,0,1,GOLD,365
15808017,0,3,GOLD,331
15756804,1,1,PLATINUM,654
15646810,1,3,GOLD,652
15710424,0,4,PLATINUM,758
15799422,0,1,DIAMOND,514
